"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","20929","Login failed with invalid credential","","2026-09-25","passed","2026-09-25","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","90352","Successfully create login details with enabled status","","2026-09-25","passed","2026-09-25","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","20029","Login failed with invalid credential","","2026-09-25","passed","2026-09-25","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","49236","find employee with current and include past employee","","2026-09-25","passed","2026-09-25","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","24818","Search employee name without record data","","2026-09-25","broken","2026-09-25","","Check List Employe on PIM Module","Search employee name without record data",""
"","71290","Validate error when First Name is empty","","2026-09-25","broken","2026-09-25","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","78024","Successfully create login details with disabled status","","2026-09-25","broken","2026-09-25","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","54952","Validate error when passwords do not match","","2026-09-25","broken","2026-09-25","","Add Employe on PIM Module","Validate error when passwords do not match",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","20273","Login failed with invalid credential","","2026-09-25","passed","2026-09-25","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","68178","find employee with partial name","","2026-09-25","passed","2026-09-25","","Check List Employe on PIM Module","find employee with partial name",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","26069","Successful login with valid credentials","","2026-09-25","broken","2026-09-25","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","84636","Validate error when photo file size exceeds the limit","","2026-09-25","passed","2026-09-25","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","68774","Check total data with default pagination","","2026-09-25","passed","2026-09-25","","Check List Employe on PIM Module","Check total data with default pagination",""
"","32983","Validate error for duplicate Employee ID","","2026-09-25","broken","2026-09-25","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","120963","Successfully create login details with enabled status","","2026-09-25","broken","2026-09-25","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","133133","Add a new employee using only mandatory fields","","2026-09-25","passed","2026-09-25","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","96688","Add a new employee with minimum required fields and a unique manual ID","","2026-09-25","failed","2026-09-25","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
