"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23928","Validate error when First Name is empty","","Mon Mar 02 03:31:06 UTC 2026","passed","Mon Mar 02 03:31:30 UTC 2026","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","41716","Successfully create login details with enabled status","","Mon Mar 02 03:31:53 UTC 2026","failed","Mon Mar 02 03:32:35 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","30883","Add a new employee using only mandatory fields","","Mon Mar 02 03:30:11 UTC 2026","failed","Mon Mar 02 03:30:42 UTC 2026","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","2634","Login failed with invalid credential","","Mon Mar 02 03:36:08 UTC 2026","passed","Mon Mar 02 03:36:11 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4321","Login failed with invalid credential","","Mon Mar 02 03:36:01 UTC 2026","passed","Mon Mar 02 03:36:05 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","7290","find employee with current and include past employee","","Mon Mar 02 03:35:21 UTC 2026","passed","Mon Mar 02 03:35:29 UTC 2026","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","54341","Successfully create login details with disabled status","","Mon Mar 02 03:34:19 UTC 2026","broken","Mon Mar 02 03:35:13 UTC 2026","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3841","Successful login with valid credentials","","Mon Mar 02 03:35:57 UTC 2026","passed","Mon Mar 02 03:36:01 UTC 2026","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","5650","Check total data with default pagination","","Mon Mar 02 03:35:29 UTC 2026","passed","Mon Mar 02 03:35:34 UTC 2026","","Check List Employe on PIM Module","Check total data with default pagination",""
"","22297","Search employee name without record data","","Mon Mar 02 03:35:34 UTC 2026","passed","Mon Mar 02 03:35:57 UTC 2026","","Check List Employe on PIM Module","Search employee name without record data",""
"","22804","Validate error for duplicate Employee ID","","Mon Mar 02 03:31:30 UTC 2026","passed","Mon Mar 02 03:31:53 UTC 2026","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3391","Login failed with invalid credential","","Mon Mar 02 03:36:05 UTC 2026","passed","Mon Mar 02 03:36:08 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","23102","Validate error when photo file size exceeds the limit","","Mon Mar 02 03:33:56 UTC 2026","passed","Mon Mar 02 03:34:19 UTC 2026","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","24346","Add a new employee with minimum required fields and a unique manual ID","","Mon Mar 02 03:30:42 UTC 2026","failed","Mon Mar 02 03:31:06 UTC 2026","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","8051","find employee with partial name","","Mon Mar 02 03:35:13 UTC 2026","passed","Mon Mar 02 03:35:21 UTC 2026","","Check List Employe on PIM Module","find employee with partial name",""
"","38435","Successfully create login details with enabled status","","Mon Mar 02 03:32:35 UTC 2026","passed","Mon Mar 02 03:33:13 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","42572","Validate error when passwords do not match","","Mon Mar 02 03:33:13 UTC 2026","passed","Mon Mar 02 03:33:56 UTC 2026","","Add Employe on PIM Module","Validate error when passwords do not match",""
