"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23506","Search employee name without record data","","2026-07-27","passed","2026-07-27","","Check List Employe on PIM Module","Search employee name without record data",""
"","32986","Add a new employee using only mandatory fields","","2026-07-27","failed","2026-07-27","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","9145","Validate error when photo file size exceeds the limit","","2026-07-27","passed","2026-07-27","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","53873","Validate error when passwords do not match","","2026-07-27","passed","2026-07-27","","Add Employe on PIM Module","Validate error when passwords do not match",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","5107","Successful login with valid credentials","","2026-07-27","passed","2026-07-27","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","24319","Validate error when First Name is empty","","2026-07-27","passed","2026-07-27","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","25747","Add a new employee with minimum required fields and a unique manual ID","","2026-07-27","failed","2026-07-27","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","24664","Validate error for duplicate Employee ID","","2026-07-27","passed","2026-07-27","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4800","Login failed with invalid credential","","2026-07-27","passed","2026-07-27","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","39372","Successfully create login details with enabled status","","2026-07-27","passed","2026-07-27","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","8617","find employee with current and include past employee","","2026-07-27","passed","2026-07-27","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","41092","Successfully create login details with disabled status","","2026-07-27","failed","2026-07-27","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4694","Login failed with invalid credential","","2026-07-27","passed","2026-07-27","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","8987","find employee with partial name","","2026-07-27","passed","2026-07-27","","Check List Employe on PIM Module","find employee with partial name",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4628","Login failed with invalid credential","","2026-07-27","passed","2026-07-27","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","41303","Successfully create login details with enabled status","","2026-07-27","failed","2026-07-27","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","7085","Check total data with default pagination","","2026-07-27","passed","2026-07-27","","Check List Employe on PIM Module","Check total data with default pagination",""
