"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54188","Successfully create login details with disabled status","","Thu Mar 12 03:35:36 UTC 2026","broken","Thu Mar 12 03:36:30 UTC 2026","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","23334","Validate error when First Name is empty","","Thu Mar 12 03:32:25 UTC 2026","passed","Thu Mar 12 03:32:49 UTC 2026","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","23099","Validate error for duplicate Employee ID","","Thu Mar 12 03:32:49 UTC 2026","passed","Thu Mar 12 03:33:12 UTC 2026","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","22326","Search employee name without record data","","Thu Mar 12 03:36:53 UTC 2026","passed","Thu Mar 12 03:37:15 UTC 2026","","Check List Employe on PIM Module","Search employee name without record data",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","2953","Login failed with invalid credential","","Thu Mar 12 03:37:18 UTC 2026","passed","Thu Mar 12 03:37:21 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","8365","find employee with partial name","","Thu Mar 12 03:36:30 UTC 2026","passed","Thu Mar 12 03:36:38 UTC 2026","","Check List Employe on PIM Module","find employee with partial name",""
"","6455","Check total data with default pagination","","Thu Mar 12 03:36:46 UTC 2026","passed","Thu Mar 12 03:36:53 UTC 2026","","Check List Employe on PIM Module","Check total data with default pagination",""
"","23466","Validate error when photo file size exceeds the limit","","Thu Mar 12 03:35:12 UTC 2026","passed","Thu Mar 12 03:35:36 UTC 2026","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","43858","Successfully create login details with enabled status","","Thu Mar 12 03:33:12 UTC 2026","passed","Thu Mar 12 03:33:56 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3500","Successful login with valid credentials","","Thu Mar 12 03:37:15 UTC 2026","passed","Thu Mar 12 03:37:18 UTC 2026","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","31140","Add a new employee using only mandatory fields","","Thu Mar 12 03:31:28 UTC 2026","passed","Thu Mar 12 03:32:00 UTC 2026","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","7695","find employee with current and include past employee","","Thu Mar 12 03:36:38 UTC 2026","passed","Thu Mar 12 03:36:46 UTC 2026","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","38334","Successfully create login details with enabled status","","Thu Mar 12 03:33:56 UTC 2026","passed","Thu Mar 12 03:34:34 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","38338","Validate error when passwords do not match","","Thu Mar 12 03:34:34 UTC 2026","passed","Thu Mar 12 03:35:12 UTC 2026","","Add Employe on PIM Module","Validate error when passwords do not match",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3024","Login failed with invalid credential","","Thu Mar 12 03:37:21 UTC 2026","passed","Thu Mar 12 03:37:24 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3248","Login failed with invalid credential","","Thu Mar 12 03:37:24 UTC 2026","passed","Thu Mar 12 03:37:28 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","25817","Add a new employee with minimum required fields and a unique manual ID","","Thu Mar 12 03:32:00 UTC 2026","failed","Thu Mar 12 03:32:25 UTC 2026","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
