"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23190","Validate error when photo file size exceeds the limit","","2026-08-12","passed","2026-08-12","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","27920","Add a new employee with minimum required fields and a unique manual ID","","2026-08-12","passed","2026-08-12","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","38748","Validate error when passwords do not match","","2026-08-12","passed","2026-08-12","","Add Employe on PIM Module","Validate error when passwords do not match",""
"","8396","find employee with current and include past employee","","2026-08-12","passed","2026-08-12","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","23522","Validate error for duplicate Employee ID","","2026-08-12","passed","2026-08-12","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","23236","Search employee name without record data","","2026-08-12","passed","2026-08-12","","Check List Employe on PIM Module","Search employee name without record data",""
"","39353","Successfully create login details with enabled status","","2026-08-12","passed","2026-08-12","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","41502","Successfully create login details with enabled status","","2026-08-12","failed","2026-08-12","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","33351","Add a new employee using only mandatory fields","","2026-08-12","failed","2026-08-12","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","54095","Successfully create login details with disabled status","","2026-08-12","broken","2026-08-12","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","6816","Check total data with default pagination","","2026-08-12","passed","2026-08-12","","Check List Employe on PIM Module","Check total data with default pagination",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4279","Login failed with invalid credential","","2026-08-12","passed","2026-08-12","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4401","Login failed with invalid credential","","2026-08-12","passed","2026-08-12","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","8749","find employee with partial name","","2026-08-12","passed","2026-08-12","","Check List Employe on PIM Module","find employee with partial name",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4228","Login failed with invalid credential","","2026-08-12","passed","2026-08-12","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4926","Successful login with valid credentials","","2026-08-12","passed","2026-08-12","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","23834","Validate error when First Name is empty","","2026-08-12","passed","2026-08-12","","Add Employe on PIM Module","Validate error when First Name is empty",""
