"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43486","Successfully create login details with enabled status","","Wed Apr 15 04:01:15 UTC 2026","passed","Wed Apr 15 04:01:58 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","38018","Validate error when passwords do not match","","Wed Apr 15 04:02:37 UTC 2026","passed","Wed Apr 15 04:03:15 UTC 2026","","Add Employe on PIM Module","Validate error when passwords do not match",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3841","Login failed with invalid credential","","Wed Apr 15 04:05:09 UTC 2026","passed","Wed Apr 15 04:05:13 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","38143","Successfully create login details with enabled status","","Wed Apr 15 04:01:58 UTC 2026","passed","Wed Apr 15 04:02:37 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3741","Login failed with invalid credential","","Wed Apr 15 04:05:17 UTC 2026","passed","Wed Apr 15 04:05:20 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","38190","Add a new employee with minimum required fields and a unique manual ID","","Wed Apr 15 03:59:50 UTC 2026","broken","Wed Apr 15 04:00:28 UTC 2026","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4259","Successful login with valid credentials","","Wed Apr 15 04:05:05 UTC 2026","passed","Wed Apr 15 04:05:09 UTC 2026","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","23150","Validate error for duplicate Employee ID","","Wed Apr 15 04:00:52 UTC 2026","passed","Wed Apr 15 04:01:15 UTC 2026","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","7529","find employee with current and include past employee","","Wed Apr 15 04:04:29 UTC 2026","passed","Wed Apr 15 04:04:36 UTC 2026","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","42968","Successfully create login details with disabled status","","Wed Apr 15 04:03:37 UTC 2026","passed","Wed Apr 15 04:04:20 UTC 2026","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","32914","Add a new employee using only mandatory fields","","Wed Apr 15 03:59:17 UTC 2026","passed","Wed Apr 15 03:59:50 UTC 2026","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","23225","Validate error when First Name is empty","","Wed Apr 15 04:00:29 UTC 2026","passed","Wed Apr 15 04:00:52 UTC 2026","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","5747","Check total data with default pagination","","Wed Apr 15 04:04:36 UTC 2026","passed","Wed Apr 15 04:04:42 UTC 2026","","Check List Employe on PIM Module","Check total data with default pagination",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4022","Login failed with invalid credential","","Wed Apr 15 04:05:13 UTC 2026","passed","Wed Apr 15 04:05:17 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","22861","Validate error when photo file size exceeds the limit","","Wed Apr 15 04:03:15 UTC 2026","passed","Wed Apr 15 04:03:37 UTC 2026","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","8289","find employee with partial name","","Wed Apr 15 04:04:20 UTC 2026","passed","Wed Apr 15 04:04:29 UTC 2026","","Check List Employe on PIM Module","find employee with partial name",""
"","22499","Search employee name without record data","","Wed Apr 15 04:04:42 UTC 2026","passed","Wed Apr 15 04:05:05 UTC 2026","","Check List Employe on PIM Module","Search employee name without record data",""
