"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53501","Successfully create login details with disabled status","","Fri Apr 17 04:15:18 UTC 2026","broken","Fri Apr 17 04:16:11 UTC 2026","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","7575","Validate error when photo file size exceeds the limit","","Fri Apr 17 04:15:10 UTC 2026","passed","Fri Apr 17 04:15:18 UTC 2026","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","22635","Search employee name without record data","","Fri Apr 17 04:16:33 UTC 2026","passed","Fri Apr 17 04:16:56 UTC 2026","","Check List Employe on PIM Module","Search employee name without record data",""
"","27255","Add a new employee with minimum required fields and a unique manual ID","","Fri Apr 17 04:12:01 UTC 2026","passed","Fri Apr 17 04:12:28 UTC 2026","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","23306","Validate error when First Name is empty","","Fri Apr 17 04:12:28 UTC 2026","passed","Fri Apr 17 04:12:51 UTC 2026","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","8223","find employee with partial name","","Fri Apr 17 04:16:11 UTC 2026","passed","Fri Apr 17 04:16:19 UTC 2026","","Check List Employe on PIM Module","find employee with partial name",""
"","23280","Validate error for duplicate Employee ID","","Fri Apr 17 04:12:51 UTC 2026","passed","Fri Apr 17 04:13:14 UTC 2026","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4379","Successful login with valid credentials","","Fri Apr 17 04:16:56 UTC 2026","passed","Fri Apr 17 04:17:00 UTC 2026","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","37874","Successfully create login details with enabled status","","Fri Apr 17 04:13:54 UTC 2026","passed","Fri Apr 17 04:14:32 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","38013","Validate error when passwords do not match","","Fri Apr 17 04:14:32 UTC 2026","passed","Fri Apr 17 04:15:10 UTC 2026","","Add Employe on PIM Module","Validate error when passwords do not match",""
"","5941","Check total data with default pagination","","Fri Apr 17 04:16:27 UTC 2026","passed","Fri Apr 17 04:16:33 UTC 2026","","Check List Employe on PIM Module","Check total data with default pagination",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3935","Login failed with invalid credential","","Fri Apr 17 04:17:04 UTC 2026","passed","Fri Apr 17 04:17:08 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","39663","Successfully create login details with enabled status","","Fri Apr 17 04:13:14 UTC 2026","failed","Fri Apr 17 04:13:54 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","7730","find employee with current and include past employee","","Fri Apr 17 04:16:19 UTC 2026","passed","Fri Apr 17 04:16:27 UTC 2026","","Check List Employe on PIM Module","find employee with current and include past employee",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3899","Login failed with invalid credential","","Fri Apr 17 04:17:00 UTC 2026","passed","Fri Apr 17 04:17:04 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","33452","Add a new employee using only mandatory fields","","Fri Apr 17 04:11:27 UTC 2026","passed","Fri Apr 17 04:12:01 UTC 2026","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3920","Login failed with invalid credential","","Fri Apr 17 04:17:08 UTC 2026","passed","Fri Apr 17 04:17:12 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
