"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42830","Successfully create login details with enabled status","","2026-08-28","passed","2026-08-28","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","8236","find employee with partial name","","2026-08-28","passed","2026-08-28","","Check List Employe on PIM Module","find employee with partial name",""
"","54068","Successfully create login details with disabled status","","2026-08-28","broken","2026-08-28","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","32018","Add a new employee using only mandatory fields","","2026-08-28","failed","2026-08-28","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","23194","Validate error when First Name is empty","","2026-08-28","passed","2026-08-28","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","26616","Successfully create login details with enabled status","","2026-08-28","passed","2026-08-28","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","24264","Add a new employee with minimum required fields and a unique manual ID","","2026-08-28","failed","2026-08-28","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","7747","find employee with current and include past employee","","2026-08-28","passed","2026-08-28","","Check List Employe on PIM Module","find employee with current and include past employee",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4548","Successful login with valid credentials","","2026-08-28","passed","2026-08-28","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4047","Login failed with invalid credential","","2026-08-28","passed","2026-08-28","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","38198","Validate error when passwords do not match","","2026-08-28","passed","2026-08-28","","Add Employe on PIM Module","Validate error when passwords do not match",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3967","Login failed with invalid credential","","2026-08-28","passed","2026-08-28","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3955","Login failed with invalid credential","","2026-08-28","passed","2026-08-28","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","6874","Check total data with default pagination","","2026-08-28","passed","2026-08-28","","Check List Employe on PIM Module","Check total data with default pagination",""
"","23621","Validate error when photo file size exceeds the limit","","2026-08-28","passed","2026-08-28","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","23719","Validate error for duplicate Employee ID","","2026-08-28","passed","2026-08-28","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","22863","Search employee name without record data","","2026-08-28","passed","2026-08-28","","Check List Employe on PIM Module","Search employee name without record data",""
