"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39995","Validate error when passwords do not match","","2026-09-07","passed","2026-09-07","","Add Employe on PIM Module","Validate error when passwords do not match",""
"","45323","Successfully create login details with enabled status","","2026-09-07","passed","2026-09-07","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","39189","Successfully create login details with enabled status","","2026-09-07","passed","2026-09-07","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","5020","Successful login with valid credentials","","2026-09-07","passed","2026-09-07","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","24205","Search employee name without record data","","2026-09-07","passed","2026-09-07","","Check List Employe on PIM Module","Search employee name without record data",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","5827","Login failed with invalid credential","","2026-09-07","passed","2026-09-07","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","6326","Login failed with invalid credential","","2026-09-07","passed","2026-09-07","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","54869","Successfully create login details with disabled status","","2026-09-07","broken","2026-09-07","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","25708","Validate error for duplicate Employee ID","","2026-09-07","passed","2026-09-07","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","5586","Login failed with invalid credential","","2026-09-07","passed","2026-09-07","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","27278","Validate error when First Name is empty","","2026-09-07","passed","2026-09-07","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","10826","find employee with current and include past employee","","2026-09-07","passed","2026-09-07","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","24734","Validate error when photo file size exceeds the limit","","2026-09-07","passed","2026-09-07","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","10388","find employee with partial name","","2026-09-07","passed","2026-09-07","","Check List Employe on PIM Module","find employee with partial name",""
"","30506","Add a new employee using only mandatory fields","","2026-09-07","passed","2026-09-07","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","11164","Check total data with default pagination","","2026-09-07","passed","2026-09-07","","Check List Employe on PIM Module","Check total data with default pagination",""
"","30395","Add a new employee with minimum required fields and a unique manual ID","","2026-09-07","passed","2026-09-07","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
