"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39046","Successfully create login details with enabled status","","2026-07-14","passed","2026-07-14","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","8283","find employee with current and include past employee","","2026-07-14","passed","2026-07-14","","Check List Employe on PIM Module","find employee with current and include past employee",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4104","Login failed with invalid credential","","2026-07-14","passed","2026-07-14","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","29870","Add a new employee with minimum required fields and a unique manual ID","","2026-07-14","passed","2026-07-14","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","23643","Search employee name without record data","","2026-07-14","passed","2026-07-14","","Check List Employe on PIM Module","Search employee name without record data",""
"","69012","Successfully create login details with disabled status","","2026-07-14","broken","2026-07-14","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4428","Login failed with invalid credential","","2026-07-14","passed","2026-07-14","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","23644","Validate error for duplicate Employee ID","","2026-07-14","passed","2026-07-14","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","23839","Validate error when photo file size exceeds the limit","","2026-07-14","passed","2026-07-14","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","29907","Validate error when passwords do not match","","2026-07-14","passed","2026-07-14","","Add Employe on PIM Module","Validate error when passwords do not match",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4526","Successful login with valid credentials","","2026-07-14","passed","2026-07-14","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","40721","Successfully create login details with enabled status","","2026-07-14","failed","2026-07-14","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","7157","Check total data with default pagination","","2026-07-14","passed","2026-07-14","","Check List Employe on PIM Module","Check total data with default pagination",""
"","33999","Add a new employee using only mandatory fields","","2026-07-14","passed","2026-07-14","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","24565","Validate error when First Name is empty","","2026-07-14","passed","2026-07-14","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","9224","find employee with partial name","","2026-07-14","passed","2026-07-14","","Check List Employe on PIM Module","find employee with partial name",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4279","Login failed with invalid credential","","2026-07-14","passed","2026-07-14","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
