"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4180","Login failed with invalid credential","","2026-06-12","passed","2026-06-12","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","57878","Successfully create login details with disabled status","","2026-06-12","broken","2026-06-12","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","39488","Successfully create login details with enabled status","","2026-06-12","passed","2026-06-12","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","37741","Add a new employee using only mandatory fields","","2026-06-12","failed","2026-06-12","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","26999","Validate error when photo file size exceeds the limit","","2026-06-12","passed","2026-06-12","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4748","Successful login with valid credentials","","2026-06-12","passed","2026-06-12","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4419","Login failed with invalid credential","","2026-06-12","passed","2026-06-12","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","11843","find employee with partial name","","2026-06-12","passed","2026-06-12","","Check List Employe on PIM Module","find employee with partial name",""
"","71062","Add a new employee with minimum required fields and a unique manual ID","","2026-06-12","passed","2026-06-12","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","38185","Validate error when First Name is empty","","2026-06-12","passed","2026-06-12","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","13855","find employee with current and include past employee","","2026-06-12","passed","2026-06-12","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","12787","Check total data with default pagination","","2026-06-12","passed","2026-06-12","","Check List Employe on PIM Module","Check total data with default pagination",""
"","40746","Successfully create login details with enabled status","","2026-06-12","failed","2026-06-12","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","24229","Search employee name without record data","","2026-06-12","passed","2026-06-12","","Check List Employe on PIM Module","Search employee name without record data",""
"","31627","Validate error for duplicate Employee ID","","2026-06-12","passed","2026-06-12","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4327","Login failed with invalid credential","","2026-06-12","passed","2026-06-12","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","41878","Validate error when passwords do not match","","2026-06-12","passed","2026-06-12","","Add Employe on PIM Module","Validate error when passwords do not match",""
