"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","7574","Successful login with valid credentials","","2026-05-29","passed","2026-05-29","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","7643","Login failed with invalid credential","","2026-05-29","passed","2026-05-29","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","10596","Search employee name without record data","","2026-05-29","failed","2026-05-29","","Check List Employe on PIM Module","Search employee name without record data",""
"","42866","Add a new employee with minimum required fields and a unique manual ID","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","5571","Login failed with invalid credential","","2026-05-29","passed","2026-05-29","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","49303","Add a new employee using only mandatory fields","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","12175","Check total data with default pagination","","2026-05-29","passed","2026-05-29","","Check List Employe on PIM Module","Check total data with default pagination",""
"","69161","Successfully create login details with enabled status","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","35640","Validate error for duplicate Employee ID","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","16174","find employee with current and include past employee","","2026-05-29","passed","2026-05-29","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","72886","Successfully create login details with disabled status","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","17922","find employee with partial name","","2026-05-29","passed","2026-05-29","","Check List Employe on PIM Module","find employee with partial name",""
"","35281","Validate error when First Name is empty","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Validate error when First Name is empty",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","6426","Login failed with invalid credential","","2026-05-29","passed","2026-05-29","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","60639","Successfully create login details with enabled status","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","48515","Validate error when photo file size exceeds the limit","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","67684","Validate error when passwords do not match","","2026-05-29","passed","2026-05-29","","Add Employe on PIM Module","Validate error when passwords do not match",""
