"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3898","Successful login with valid credentials","","2026-07-10","passed","2026-07-10","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","22650","Validate error when First Name is empty","","2026-07-10","passed","2026-07-10","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","5271","Check total data with default pagination","","2026-07-10","passed","2026-07-10","","Check List Employe on PIM Module","Check total data with default pagination",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4056","Login failed with invalid credential","","2026-07-10","passed","2026-07-10","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","7713","find employee with partial name","","2026-07-10","passed","2026-07-10","","Check List Employe on PIM Module","find employee with partial name",""
"","7124","find employee with current and include past employee","","2026-07-10","passed","2026-07-10","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","53061","Successfully create login details with disabled status","","2026-07-10","broken","2026-07-10","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","41059","Successfully create login details with enabled status","","2026-07-10","passed","2026-07-10","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3267","Login failed with invalid credential","","2026-07-10","passed","2026-07-10","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","23989","Successfully create login details with enabled status","","2026-07-10","failed","2026-07-10","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","37930","Validate error when passwords do not match","","2026-07-10","passed","2026-07-10","","Add Employe on PIM Module","Validate error when passwords do not match",""
"","22423","Validate error for duplicate Employee ID","","2026-07-10","passed","2026-07-10","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3417","Login failed with invalid credential","","2026-07-10","passed","2026-07-10","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","6893","Validate error when photo file size exceeds the limit","","2026-07-10","passed","2026-07-10","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","22135","Search employee name without record data","","2026-07-10","passed","2026-07-10","","Check List Employe on PIM Module","Search employee name without record data",""
"","27418","Add a new employee with minimum required fields and a unique manual ID","","2026-07-10","passed","2026-07-10","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","48806","Add a new employee using only mandatory fields","","2026-07-10","passed","2026-07-10","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
