"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38367","Successfully create login details with enabled status","","Fri Feb 27 03:32:27 UTC 2026","passed","Fri Feb 27 03:33:05 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","23568","Validate error when photo file size exceeds the limit","","Fri Feb 27 03:33:44 UTC 2026","passed","Fri Feb 27 03:34:07 UTC 2026","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","7304","Search employee name without record data","","Fri Feb 27 03:35:23 UTC 2026","failed","Fri Feb 27 03:35:30 UTC 2026","","Check List Employe on PIM Module","Search employee name without record data",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","2599","Login failed with invalid credential","","Fri Feb 27 03:35:36 UTC 2026","passed","Fri Feb 27 03:35:39 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","59038","Add a new employee using only mandatory fields","","Fri Feb 27 03:29:00 UTC 2026","broken","Fri Feb 27 03:29:59 UTC 2026","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","56328","Add a new employee with minimum required fields and a unique manual ID","","Fri Feb 27 03:29:59 UTC 2026","passed","Fri Feb 27 03:30:56 UTC 2026","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","7416","find employee with current and include past employee","","Fri Feb 27 03:35:10 UTC 2026","passed","Fri Feb 27 03:35:17 UTC 2026","","Check List Employe on PIM Module","find employee with current and include past employee",""
"","24617","Validate error when First Name is empty","","Fri Feb 27 03:30:56 UTC 2026","passed","Fri Feb 27 03:31:20 UTC 2026","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","53847","Successfully create login details with disabled status","","Fri Feb 27 03:34:07 UTC 2026","broken","Fri Feb 27 03:35:01 UTC 2026","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","43817","Successfully create login details with enabled status","","Fri Feb 27 03:31:43 UTC 2026","failed","Fri Feb 27 03:32:27 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","2975","Login failed with invalid credential","","Fri Feb 27 03:35:33 UTC 2026","passed","Fri Feb 27 03:35:36 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3390","Login failed with invalid credential","","Fri Feb 27 03:35:39 UTC 2026","passed","Fri Feb 27 03:35:42 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","5824","Check total data with default pagination","","Fri Feb 27 03:35:17 UTC 2026","passed","Fri Feb 27 03:35:23 UTC 2026","","Check List Employe on PIM Module","Check total data with default pagination",""
"","22755","Validate error for duplicate Employee ID","","Fri Feb 27 03:31:20 UTC 2026","passed","Fri Feb 27 03:31:43 UTC 2026","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","8611","find employee with partial name","","Fri Feb 27 03:35:01 UTC 2026","passed","Fri Feb 27 03:35:10 UTC 2026","","Check List Employe on PIM Module","find employee with partial name",""
"","38269","Validate error when passwords do not match","","Fri Feb 27 03:33:05 UTC 2026","passed","Fri Feb 27 03:33:44 UTC 2026","","Add Employe on PIM Module","Validate error when passwords do not match",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3142","Successful login with valid credentials","","Fri Feb 27 03:35:30 UTC 2026","passed","Fri Feb 27 03:35:33 UTC 2026","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
