"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5803","Check total data with default pagination","","2026-09-23","passed","2026-09-23","","Check List Employe on PIM Module","Check total data with default pagination",""
"","24132","Add a new employee with minimum required fields and a unique manual ID","","2026-09-23","failed","2026-09-23","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","22213","Search employee name without record data","","2026-09-23","passed","2026-09-23","","Check List Employe on PIM Module","Search employee name without record data",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3815","Successful login with valid credentials","","2026-09-23","passed","2026-09-23","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3729","Login failed with invalid credential","","2026-09-23","passed","2026-09-23","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3929","Login failed with invalid credential","","2026-09-23","passed","2026-09-23","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","24029","Validate error when First Name is empty","","2026-09-23","passed","2026-09-23","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","38221","Validate error when passwords do not match","","2026-09-23","passed","2026-09-23","","Add Employe on PIM Module","Validate error when passwords do not match",""
"","22136","Validate error when photo file size exceeds the limit","","2026-09-23","passed","2026-09-23","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","36387","Add a new employee using only mandatory fields","","2026-09-23","passed","2026-09-23","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"","8408","find employee with current and include past employee","","2026-09-23","passed","2026-09-23","","Check List Employe on PIM Module","find employee with current and include past employee",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","3384","Login failed with invalid credential","","2026-09-23","passed","2026-09-23","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","43155","Successfully create login details with disabled status","","2026-09-23","passed","2026-09-23","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"","39435","Successfully create login details with enabled status","","2026-09-23","passed","2026-09-23","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","28242","Validate error for duplicate Employee ID","","2026-09-23","passed","2026-09-23","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","7959","find employee with partial name","","2026-09-23","passed","2026-09-23","","Check List Employe on PIM Module","find employee with partial name",""
"","44487","Successfully create login details with enabled status","","2026-09-23","passed","2026-09-23","","Add Employe on PIM Module","Successfully create login details with enabled status",""
